seed,dq,dp,de,dgf,dgm,dg1,dg2,dg3,dg4,pf,pm,p1,p2,p3,p4,blue_daf,blue_dam,blue_da1,blue_da2,blue_da3,blue_da4,pink_daf,pink_dam,pink_da1,pink_da2,pink_da3,pink_da4,blue_laf,blue_lam,blue_la1,blue_la2,blue_la3,blue_la4,pink_laf,pink_lam,pink_la1,pink_la2,pink_la3,pink_la4,pedid,xr1,blue_recomb,x1,xr2,pink_recomb,x2,x
463937847,0.4,0.6,0.1,2,2,2,2,1,2,-0.02434931,0.0499365051,0.0572205527,0.044887339,-0.596858361,0.0304009329,1,1,1,1,1,1,2,2,2,2,1,2,5,5,2,2,5,5,2,5,5,5,5,5,1,0.6234570307,0,0.0205710237,0.8318180502,0,0.9870145204,0.304009329
866987325,0.4,0.6,0.1,1,1,1,1,1,1,-0.581862986,-0.550944425,-0.713081632,-0.711292623,-0.549400388,-0.677319171,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,1,1,1,1,4,2,4,2,2,2,0.9400171987,0,0.7342605459,0.9020078894,0,0.4989527289,-0.773191711
998823970,0.4,0.6,0.1,2,2,1,2,2,1,-0.052238315,0.0577706572,-0.559776748,0.2045187705,-0.168968213,-0.843170468,2,2,1,1,1,1,1,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,0.4551060942,0,0.8308473927,0.8741349317,0,0.5616698151,-2.431704678
734635899,0.4,0.6,0.1,1,1,1,1,1,1,-0.70312857,-0.458062619,-0.469660496,-0.575802988,-0.446338592,-0.647311886,1,1,1,1,1,1,1,1,1,1,1,1,5,6,5,5,5,5,5,3,6,3,6,3,4,0.8599847475,0,0.4983037685,0.8867703028,0,0.7267521409,-0.473118856
1962974514,0.4,0.6,0.1,3,2,2,2,3,2,0.8329319947,-0.090480959,-0.040014738,-0.005006855,0.6904375025,0.1063680044,2,1,2,2,2,2,2,2,1,1,2,1,4,2,1,1,4,1,1,3,2,2,2,2,5,0.3580578409,1,0.2918987406,0.7963616358,0,0.0482422607,1.0636800442
679865644,0.4,0.6,0.1,2,1,1,2,2,2,-0.127816716,-0.608818731,-0.410789647,-0.031590426,0.0645600973,-0.064543326,2,1,1,2,2,2,1,1,1,1,1,1,6,3,6,6,6,6,6,2,3,2,3,2,6,0.0713491966,1,0.0069867964,0.1314500655,1,0.1623794977,-0.645433259
1780215241,0.4,0.6,0.1,2,1,1,1,2,1,-0.166031575,-0.692060116,-0.536636475,-0.566624621,0.0941225461,-0.534793165,2,1,1,1,2,1,1,1,1,1,1,1,3,5,1,3,1,1,1,3,5,3,5,3,7,0.989847871,0,0.8001843853,0.7929820557,0,0.9962395639,0.6520683467
6541955,0.4,0.6,0.1,3,1,2,2,2,2,0.8353817106,-0.671871139,0.0236164157,0.0372305232,0.084474676,0.1002051217,2,1,2,2,2,2,2,1,1,1,1,1,3,3,6,6,3,3,6,5,3,3,5,3,8,0.9019142468,0,0.2660117891,0.6825140033,0,0.3350650903,1.0020512172
1042897464,0.4,0.6,0.1,3,1,2,2,2,2,0.8344257777,-0.72491241,-0.19506222,0.0522711593,-0.202083055,-0.135549053,2,1,2,2,2,2,2,1,1,1,1,1,4,2,2,2,4,4,2,3,2,3,3,3,9,0.548630147,0,0.4924837064,0.4273999466,0,0.555251282,-1.355490531
1452355784,0.4,0.6,0.1,1,2,1,2,2,1,-0.441716947,-0.041504059,-0.711800889,0.0931756805,-0.098306646,-0.7079735,1,2,1,1,1,1,1,1,1,2,2,1,6,4,3,3,6,6,3,6,4,4,4,6,10,0.700300753,0,0.1137666815,0.6350767313,0,0.6659619099,-1.079734996
